http://www.w3.org/2000/01/rdf-schema#label,https://www.michaeldebellis.com/climate_obstruction/year,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Federal Environmental Agency (IBAMA) v. Siderúrgica São Luiz Ltd. and Martins,2019,1010603-35.2019.4.01.3800,Pending,"Suits against corporations, individuals, Corporations, Environmental assessment and permitting, Suits against corporations, individuals, Corporations, GHG emissions reduction","Brazil, Minas Gerais, Minas Gerais Federal Court","Brazil, National Climate Change Policy (Law No. 12187 of 2009), Brazil, National Environmental Policy Act (Law No. 6.938 of 1981)","In July 2019, Brazil’s Attorney-General’s Office (“Advocacia-Geral da União”), representing the Federal Environment Agency (“IBAMA”), filed a public civil action (environmental class-action) against a steel company (Siderúrgica São Luiz Ltda.) and its managing partner (Mr. Martins), for environmental and climate damages allegedly caused by the company’s continuous and fraudulent use of illegally sourced coal in its units in the State of Minas Gerais.",Brazil seeks to hold a steel company and its manager liable for environmental damages (promoting illegal deforestation) and climate damages (greenhouse gases derived from the illegally sourced coal),"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190702_1010603-35.2019.4.01.3800_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190203_1010603-35.2019.4.01.3800_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190815_1010603-35.2019.4.01.3800_appeal.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210302_1010603-35.2019.4.01.3800_decision.pdf",https://climatecasechart.com/non-us-case/federal-environmental-agency-ibama-v-siderurgica-sao-luiz-ltda-and-martins/
Ministry of Environment and Forestry v. PT Arjuna Utama Sawit,2018,Decision No. 213/Pdt.G/LH/2018/PN.Plk,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, Palangkaraya District Court","Indonesia, Environmental Law No.32 of 2009","On December 31, 2018, the Indonesian Ministry of Environment and Forestry (the MoEF) filed a tort-based lawsuit against a palm oil plantation company, PT Arjuna Utama Sawit. The plaintiff argued that fires occurred inside the defendant’s concessions area and caused damages to peatlands and ecosystem within. The MoEF claimed that the defendant had deliberately burned the peatlands with the intention of using it for plantation purposes. Moreover, neither the fire early warning system nor the detection system in the defendant’s concessions area met the requirements, a fact which the plaintiff used as proof of omissions. The MoEF mentioned that fires inside the defendant’s concessions had caused ecological and economic damages. For these damages, the MoEF requested compensation as high as IDR 243,291.006,270 for the damages and restoration costs. For climate-related damages, the MoEF claimed that the fires had contributed to the release of 4366.98 tC and a loss of function of carbon sinks which equal to 1528 tC. Since cost of released carbon is IDR 90.000 (equals to US$ 10), the MoEF ask for compensation of the released carbon and restoration amounting to IDR 530,588,070.",Restoration for climate damage caused by palm plantation land clearing.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181231_Decision-No.-213Pdt.GLH2018PN.Plk_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191223_Decision-No.-213Pdt.GLH2018PN.Plk_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200720_Decision-No.-213Pdt.GLH2018PN.Plk_decision-1.pdf",https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-arjuna-utama-sawit/
ASA Ruling on Shell UK Ltd (following a complaint by Adfree Cities),2023,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","This ruling concerned a poster, a TV ad, and a YouTube ad for Shell. The poster was seen in Bristol in June 2022. It featured in large text “BRISTOL is READY for Cleaner Energy” and included Shell’s logo. The TV and YouTube ads, also seen in June 2022, depicted some of Shell’s business activities in 2022 and focused on more environmentally friendly energy products.
Adfree Cities challenged whether the ads were misleading.
By ruling of June 7, 2023, the Advertising Standards Authority (“ASA”) upheld that complaint.
Consumers were increasingly concerned about the environmental impact of activities related to higher-carbon products and services, and would be interested in seeking out businesses, including oil and gas companies, that were making meaningful progress towards transitioning away from higher-carbon products and services. However, they were unlikely to be aware of the details of this in relation to specific companies, and ads were therefore likely to mislead consumers if they misrepresented the contribution that lower-carbon initiatives played, or would play in the near future, as part of the overall balance of a company's activities.
In the absence of qualifying information, the cumulative effect of the ads was to give the impression that low-carbon energy products comprised a significant proportion of the energy products Shell invested in and sold in the UK in 2022, or were likely to do so in the near future.
Shell said they were taking steps towards net zero and promoting sustainable energy. However, according to Shell’s 2021 Sustainability Report, its operations gave rise to greenhouse gas emissions in 2021 that were estimated as equivalent to 1,375 million tonnes of carbon dioxide. Large-scale oil and gas investment and extraction comprised the vast majority of the company’s business model in 2022 and would continue to do so in the near future. Because the ads gave the overall impression that a significant proportion of Shell’s business comprised lower-carbon energy products, further information about the proportion of Shell’s overall business model that comprised lower-carbon energy products was material information that should have been included. Because the ads did not include such information, they omitted material information and were likely to mislead.
The ASA ruled that the ads must not appear again in the form complained of. The ASA told Shell to ensure their future ads featuring environmental claims did not mislead by exaggerating or, omitting material information about, the proportion of their business activities that were comprised of lower carbon activities.
A related complaint, concerning the use by UK households of renewable electricity from Shell, was not upheld.","Whether a poster, a TV ad, and a YouTube ad for Shell misleadingly omitted material information about the proportion of their business activities that were comprised of lower carbon activities.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230607_21511_decision.pdf,https://climatecasechart.com/non-us-case/asa-ruling-on-shell-uk-ltd-following-a-complaint-by-adfree-cities/
IBAMA vs. Brandão e Jovino,2023,ACP nº 1012550-40.2023.4.01.4300,Pending,"Suits against corporations, individuals, Corporations, Climate damage","Brazil, Tocantins, Tocantins Federal Court","Brazil, Federal Constitution, art. 225, Brazil, National Environmental Policy (Federal Law 6 938/81), Brazil, Forest Code (Law No. 4771 of 1965)","On September 11 2023, Brazil’s Federal Environment Agency (“IBAMA”), filed a public civil action (environmental class-action) against two individuals, Brandão de Souza Rezende and Jovino Moreno de Miranda seeking compensation for environmental and climate damages. The plaintiff claims that 489,0545 ha (hectares) of native Cerrado forest were cleared at the Jatobá farm without prior authorization from the competent environmental agency. It highlights the great importance of the Cerrado and that the advance of illegal deforestation of the biome contributes to the climate crisis. According to remote sensing images, the plaintiff claims that the area continues to be exploited (even though it has been embargoed by IBAMA), without regeneration measures having been adopted. It argues that the defendants are civilly liable for the specific environmental damage caused by the irregular suppression of native forest in the Cerrado and the existence of resulting environmental damage that includes damage to fauna, soil, climate and biodiversity, among other harmful consequences related to deforestation. Several measures to secure the prohibition of further exploitation of the deforested area are requested as an injunction. In a definitive manner, it is requested that the defendants be ordered to (i) recover an area corresponding to the deforested one, (ii) pay collective moral damages in the amount of R$3.693.828,63, (iii) pay for the transitory and residual damage caused to ecological heritage, in addition to compensation for the economic profit obtained illegally, including climate damage.",Restoration for environmental and climate damage caused by deforestation in the Cerrado.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180911_ACP-no-1012550-40.2023.4.01.4300_petition-1.pdf,https://climatecasechart.com/non-us-case/ibama-vs-brandao-e-jovino/
Consumer NZ Inc v Z Energy Ltd,2023,CIV-2023-485-771,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","New Zealand, High Court of New Zealand","New Zealand, Fair Trading Act 1986","In November 2023, three NGOs – Consumer NZ, The Environmental Law Initiative, and Lawyers for Climate Action NZ Inc – filed a complaint against Z Energy Ltd, the largest petroleum retailer in New Zealand. The complaint is New Zealand’s first “greenwashing” case. The complaint details claims that Z Energy has made which give the impression that it is taking action to reduce its greenhouse gas emissions. Complainants argue that these statements do not align with Z Energy’s actual policies and actions. Accordingly, they argue that Z Energy has breached section 9 of New Zealand’s Fair Trading Act, which prohibits “misleading and deceptive conduct”.",Whether the defendant energy company has engaged in misleading and deceptive conduct in its public statements concerning its greenhouse gas emission policies,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231124_CIV-2023-485-771_petition.pdf,https://climatecasechart.com/non-us-case/consumer-nz-inc-v-z-energy-ltd/
Development YES – Open-Pit Mines NO v. Group PZU S.A.,2018,,Decided,"Suits against corporations, individuals, Corporations, Disclosures","OECD, Poland National Contact Point","International Law, OECD Guidelines for Multinational Enterprises","Development YES, a grassroots foundation working on anti-coal and anti-lignite activism in Poland, filed a specific instance against PZU in August 2018. The complaint concerned the indirect impact of the activities of PZU on climate change and lack of transparency in information regarding PZU’s CO2 emissions and the impact of financially insuring the coal mining sector in Poland.",Complaint brought against Polish coal company under OECD National Guidelines.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181218_11814_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190726_11814_na.pdf",https://climatecasechart.com/non-us-case/development-yes-open-pit-mines-no-v-group-pzu-sa/
Australian Competition and Consumer Commission v. V8 Supercars Australia Pty. Ltd.,2008,,Decided,,"Australia, Federal Court of Australia","Australia, Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011)","The Australian Competition and Consumer Commission (ACCC) challenged V8 Supercars Australia Pty. Ltd. for being misleading in its Racing Green Program’s claim that it was offsetting carbon emissions from its V8 Championship Emissions by planting 10,000 native trees.  The ACCC contended that the claim was ambiguous because it failed to state over what time span the carbon emissions would be supposedly nullified.  V8 Supercars acknowledged the ACCC’s concerns and agreed to a court enforceable undertaking that it would ensure compliance with the Trade Practices Act 1974 in any of its future “green marketing” schemes.",Challenge to corporation for false green advertising.,,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-v8-supercars-australia-pty-ltd/
"Koch Industries, Inc. and Koch Supply & Trading, LP",2020,ICSID Case No. ARB/20/52,Decided,"Suits against corporations, individuals, Corporations, Emissions Trading","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, United States-Mexico-Canada Agreement (USMCA), International Law, NAFTA (North American Free Trade Agreement)","In 2016, Ontario, a province in Canada, established a cap-and-trade program for carbon emissions as part of the Western Climate Initiative (WCI), a collaborative effort among regional governments in the United States and Canada to create a shared emissions trading market. During auctions held in 2017 and 2018, KS&T acquired a significant number of emissions trading allowances, transferring the majority of these allowances to California, another participant in the WCI. While the specific value of the allowances is not disclosed in the arbitration award, earlier reports estimate the amount to be approximately USD 30 million, aligning with the claimants' stated damages in the arbitration.","Whether Ontario's cancellation of the cap-and-trade program and invalidation of emissions trading allowances without compensation violates investor protection provisions under NAFTA, particularly through the ""Legacy Investments"" clause of the USMCA.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240313_ICSID-Case-No.-ARB2052_decision.pdf,https://climatecasechart.com/non-us-case/koch-industries-inc-and-koch-supply-trading-lp/
Regional Court of Kleve’s decision on company’s climate neutral claims regarding sweets,2021,,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Regional Court of Kleve","Germany, The Act against Unfair Competition","In December 2021, an anonymous party filed a suit against an anonymous corporation for misleading advertisement.",Whether an advertising on climate neutral production of all products is a misleading commercial practice.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220622_18214_judgment.pdf,https://climatecasechart.com/non-us-case/regional-court-of-kleves-decision-on-companys-climate-neutral-claims-regarding-sweets/
Rete Legalità per il Clima (Legality for Climate Network) and others v. ENI,2022,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","OECD, Italy National Contact Point","International Law, OECD Guidelines for Multinational Enterprises","On February 14, 2022, a group of Italian NGOs and environmental movements submitted a climate-related complaint to the National Contact Point of the OECD (Organization for Economic Cooperation and Development) alleging the inadequacy of the business plan pursued by the oil company ENI. Specifically, the complaint highlights that ENI has committed to net zero emissions by 2050, but its actions run contrary to this goal. For example, ENI plans to increase its oil production by 4% each year until at least 2024, and is proposing to rely on large amounts of negative emissions technology (7 million tonnes of CO2 stocked each year by 2030). The complaint alleges that ENI has not complied with the OECD Guidelines for Multinational Enterprises due to: (i) the fact that the company's strategic plan does not foresee a sufficient cut in GHG emissions in the coming years; (ii) the lack of a climate impact assessment of the company's activities; (iii) the absence of transparent and adequate information; and (iv) the failure to develop a plan for risk prevention and mitigation. As the National Contact Point is a non-judicial grievance mechanism, the applicants have requested mediation with ENI. The complaint follows a notice to desist sent to the company by the Legality for Climate Network on July 26, 2021.",Whether the industrial plan of ENI is compatible with the current climate emergency.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210726_15733_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220215_15733_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220215_15733_press-release-1.pdf",https://climatecasechart.com/non-us-case/rete-legalita-per-il-clima-legality-for-climate-network-and-others-v-eni/
Verbraucherzentrale Baden-Württemberg e.V. v. Commerz Real Fund Management S.à.r.l.,2020,,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Stuttgart, Regional Court of Stuttgart (Landgericht Stuttgart)","Germany, The Act against Unfair Competition","In December 2022, the plaintiff filed a claim with the Regional Court of Stuttgart and argued that the advertising statements were misleading after the defendant themselves had massively relativised in other places. The defendant responded that the value was an investment ‘target’ and could therefore be exceeded as well as fallen short of. With regard to the various quantities, an amount that was too low had been stated by mistake. An imputed misleading was therefore not relevant in any case.","Whether advertising on an investment with its positive effect on the ‘personal carbon footprint’ is a misleading commercial practice and/or misleading by omission, when it is done in such a manner that the consumer calculates the ‘CO2 compensation’ dependent on the investment, indicating specific results",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220131_18225_judgment.pdf,https://climatecasechart.com/non-us-case/verbraucherzentrale-baden-wurttemberg-ev-v-commerz-real-fund-management-sarl/
South Durban Community Environmental Alliance v. Minister of Environment and Others,2021,17554/2021,Decided,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","South Africa, High Court","International Law, UNFCCC, Paris Agreement, South Africa, National Environmental Management Act 107 of 1998","In June 2021, an environmental justice organization filed suit challenging the South African government's approval of offshore oil and gas exploration by Eni South Africa and Sasol. The suit challenges the authorization on several grounds, including the government's failure to consider the climate impacts resulting from the exploration in its Environmental Impact Assessment. Plaintiffs allege that this is in violation of the country's climate change commitments, including those under the Paris Agreement, and its environmental assessment laws.",Whether South Africa's authorization of oil exploration violates climate commitments,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210614_175542021_application-1.pdf,https://climatecasechart.com/non-us-case/south-durban-community-environmental-alliance-v-minister-of-environment-et-al/
ASA Ruling on Equinor ASA,2023,"Niall Toru, England and Wales",Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, Code of Broadcast Advertising, United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","A national press ad for energy company Equinor, seen in June 2023, stated, “Wind, oil, gas, carbon capture […]” and “IT’S ALL PART OF THE BROADER ENERGY PICTURE”. A footnote at the bottom of the ad stated, “Equinor has been delivering energy solutions to the UK for 40 years, and we are now working to help the UK achieve a smooth energy transition […] we’re producing the oil and gas the UK needs now; and will be powering millions more homes with wind, capturing and storing carbon safely […]. It’s broad energy for a brighter future”. The relevant advertising code stated that unqualified environmental claims could mislead if they omitted significant information. The ad appeared in The Economist magazine, which was read by consumer and business readers, as well as politicians and public policy professionals. The Advertising Standards Authority, therefore, considered members of those groups as the ad’s likely audience. While the ad was not for a directly purchasable product or service, the ASA considered it was likely to raise Equinor’s profile and influence readers’ opinions of Equinor as a brand by increasing awareness of their activities and plans in the UK. However, ads were likely to mislead if they exaggerated the contribution that lower-carbon initiatives played, or would play in the near future, as part of the overall balance of a company's activities when making claims about green initiatives. The claim “Wind, oil, gas, carbon capture” gave equal prominence to each activity. It was likely to be interpreted to mean that carbon capture and energy sourced from windfarms formed a significant proportion of Equinor’s current and near future activities, alongside oil and gas.","Whether advertising claims by an energy company about its various activities related to wind, oil and gas power, and to carbon capture, were likely to mislead.",No case documents are available.,https://climatecasechart.com/non-us-case/asa-ruling-on-equinor-asa/
World Council of Churches’s Claim on Climate Disinformation,2023,,Pending,,"International Courts & Tribunals, International Criminal Court","International Law, Rome Statute","On December 14, 2023, the World Council of Churches (WCC), a Christian organization for the promotion of ecumenism, submitted a letter addressed to the Assembly of State Parties to the International Criminal Court titled “Climate Change Disinformation: The Need for Legal Development”, arguing for an amendment of Article 7 of the Rome Statute.",Argument to expand Article 7 of the Rome Statute to include the effects of the burning of fossil fuel and climate disinformation campaigns.,No case documents are available.,https://climatecasechart.com/non-us-case/world-council-of-churches/
Deutsche Umwelthilfe v. Eurowings GmbH,2023,81 O 32/23,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Higher Regional Court of Cologne","Germany, The Act against Unfair Competition","The lawsuit was directed against the airline company Eurowings. The company was accused of making misleading advertising claims that suggest products, companies, or services are ""climate neutral.""","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-eurowings-gmbh/
Ministry of Environment and Forestry v. PT Waringin Agro Jaya,2016,Decision Number 456/Pdt.G-LH/2016/PN Jkt. Sel.,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, Jakarta Court of Appeal, Indonesia, Supreme Court, Indonesia, North Jakarta District Court","Indonesia, Environmental Protection and Management Act 2009","On July 7, 2016, the Indonesian Ministry of Environment and Forestry (the MoEF) sued a company of palm oil plantation, namely PT Waringin Agro Jaya, for fires covering an area of 1,626 hectares. The MoEF used two liability rules in this lawsuit: strict liability and the unlawful act rule (Perbuatan Melawan Hukum). For the unlawful act rule, the plaintiff argued that the defendant had intentionally set up fires to clear the land for the sake of efficiency. For the strict liability rule, the plaintiff argued that the defendant’s activities posed significant threats to environment—considering the crop field are within the peatlands area. Therefore, the defendant would be liable for compensation of damages caused by wildfires within concessions area.",Whether a palm oil plantation is liable for compensation of damages from fires.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160718_Decision-Number-456Pdt.G-LH2016PN-Jkt.-Sel._decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170221_Decision-Number-456Pdt.G-LH2016PN-Jkt.-Sel._decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230214_Decision-Number-456Pdt.G-LH2016PN-Jkt.-Sel._decision.pdf",https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-waringin-agro-jaya/
Deutsche Umwelthilfe (DUH) v. Bayerische Motoren Werke AG (BMW),2021,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Germany, Bayern, Regional Court of Munich (Landgericht München)","Germany, Tort Law, International Law, UNFCCC, Paris Agreement, Germany, Federal Climate Protection Act of 2019 (KSG)","On September 20, 2021, environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) filed an action against BMW in the Regional court of Munich for not yet having clearly and irreversibly committed to phase out the sale of passenger cars with internal combustion engines (ICE) by 2030. DUH argues that by failing to do so, the automaker is violating the fundamental right to climate protection and impinging upon the rights and freedoms of future generations, as phase out would be necessary for the company to adhere to its allocated carbon budget. The claim is grounded in the Paris Agreement and German Tort Law. The plaintiff relies on the earlier decision by the Federal Constitutional Court (BVerfG) on the German Climate Protection Act, where the Court accepted that Germany has a limited total CO2 emissions budget remaining at its disposal (Neubauer v. Germany). The action filed against BMW is one of the first civil proceedings based on this decision.",Whether BMW is infringing on the right to climate protection by not committing to achieving carbon neutrality in the production and intended use of internal combustion engine cars.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210920_14541_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210903_14541_na.pdf",https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-bmw/
ASA Ruling on Ryanair Ltd t/a Ryanair Ltd,2019,Complaint No. G19-1035778,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","The Irish-headquartered airline Ryanair ran a series of ads in the United Kingdom on September 2019, boasting of “low CO2 emissions” and of being the ""lowest emissions airline,"" at 66g CO2 per passenger-kilometers flown. The airline justified this assertion with technological and average load factor arguments.",Whether an advertising on emissions from an airline was misleading.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200205_Complaint-No.-G19-1035778_decision.pdf,https://climatecasechart.com/non-us-case/asa-ruling-on-ryanair-ltd-t-a-ryanair-ltd/
Advertising Standards Authority’s Ruling on Shell UK Ltd.’s Shell Go+ Campaign,2020,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)",,"In January 2020, Shell UK Ltd. launched a radio advertising campaign for its Shell Go+ loyalty scheme. The United Kingdom’s Advertising Standards Authority subsequently received 17 complaints challenging claims made in the campaign, arguing that Shell’s statement that the scheme allowed customers to “Drive carbon-neutral” was misleading.",Whether Shell UK’s advertising claim to “drive carbon-neutral” was misleading to consumers.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200608_15244_decision.pdf,https://climatecasechart.com/non-us-case/advertising-standards-authoritys-ruling-on-shell-uk-ltds-shell-go-campaign/
Deutsche Umwelthilfe v. Netto Marken-Discount Stiftung & Co. KG,2023,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Amberg Regional Court","Germany, The Act against Unfair Competition","The lawsuit was directed against the company ""Netto Marken-Discount Stiftung & Co. KG."" The company was accused of making misleading advertising claims that suggest products, companies, or services are ""climate neutral."" This concerned the marketing of a ""climate-neutral coffee beverage.""","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-netto-marken-discount-stiftung-co-kg/
Deutsche Umwelthilfe v. Danone Deutschland GmbH,2023,Az 3-08 O 21/23,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Regional Court of Frankfurt am Main","Germany, The Act against Unfair Competition","The lawsuit was directed against Danone Deutschland GmbH. The company was accused of making misleading advertising claims that suggest products, companies, or services are ""climate neutral"" or even ""climate positive."" The case involved the statements ""evian is globally climate neutral certified by Carbon Trust"" and ""CARBON TRUST CLIMATE NEUTRAL."" One day before the oral hearing at the Frankfurt Regional Court, the corporation submitted a cease-and-desist declaration.","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-danone-deutschland-gmbh/
Abrahams v. Commonwealth Bank of Australia (2017),2017,Case number: VID879/2017,Withdrawn,"Suits against corporations, individuals, Corporations, Disclosures","Australia, Federal Court of Australia","Australia, Corporations Act of 2001","Shareholders of the Commonwealth Bank of Australia (CBA) sued the bank, alleging that it violated the Corporations Act of 2001 with the issuance of its 2016 annual report, which failed to disclose climate change-related business risks—specifically including possible investment in the controversial Adani Carmichael coal mine. The bank has made no indication that it would report on these risks or disclose its plans for managing them in 2017. The shareholders asked the Federal Court of Australia for a declaration that the bank has violated the 2001 Act and for an injunction either “restraining the bank from continuing to fail to report” on climate change-related risks and its responses, or requiring the bank to report on them.",Bank's alleged failure to disclose climate change-related risks of its investments,No case documents are available.,https://climatecasechart.com/non-us-case/abrahams-v-commonwealth-bank-australia/
ASIC v Vanguard Investments Australia Ltd,2023,VID563/2023,Pending,"Suits against corporations, individuals, Corporations, Misleading advertising","Australia, Federal Court of Australia","Australia, Australian Securities and Investments Commission Act 2001 (Cth)","On July 24, 2023, the Australian Securities and Investments Commission (ASIC) commenced proceedings against Vanguard Investments Australia Ltd (Vanguard), alleging misleading conduct in relation to the ESG criteria applied to its Vanguard Ethically Conscious Global Aggregate Bond Index (Hedged) Fund (the Fund). The Fund tracks an index called the Bloomberg Barclays MSCI Global Aggregate SRI Exclusions Float Adjusted Index (the Index), which purports to exclude securities based on research and screening against ESG criteria. Between August 2018 and February 2021, Vanguard published twelve product disclosure statements (PDSs) for the Fund, each of which contained a statement that Vanguard does not take into account labour standards, environment, social or ethical considerations when selecting, retaining or realizing investments in the Fund to track the performance of the benchmark index, but that Vanguard has “engaged Bloomberg Barclays to provide an index of securities for the Fund that excludes companies with significant business activities involving fossil fuels, alcohol, tobacco, gambling, military weapons and civilian firearms, nuclear power and adult entertainment”. A majority of the PDSs also directed readers to Bloomberg’s website which contained fact sheets about the index. A fact sheet issued in 2018 stated that the Index “removes issuers with evidence of owning fossil fuel reserves or are involved in certain controversial business lines”. A fact sheet issued in 2020 stated that the index “removes issuers with ties to thermal coal, oil and gas or are involved in certain controversial business lines. The index also excludes issuers with very severe ESG Controversies or Red Flags”. Vanguard also allegedly made similar statements about the ESG screening of the Fund in an interview during the relevant time period. ASIC is ultimately alleging that Vanguard made representations that:",Whether Vanguard has engaged in misleading conduct when making representations about its Ethically Conscious Global Aggregate Bond Index (Hedged) Fund.,No case documents are available.,https://climatecasechart.com/non-us-case/asic-v-vanguard-investments-australia-ltd/
"Greenpeace Italy et. Al. v. ENI S.p.A., the Italian Ministry of Economy and Finance and Cassa Depositi e Prestiti S.p.A.",2023,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Italy, Civil Court of Rome","Italy, Constitution, Italy, Civil Code Article 2043","On May 9, 2023, 12 Italian citizens and 2 NGOs (Greenpeace Italy, and ReCommon) filed a lawsuit against the fossil fuel company ENI S.p.A. (""ENI"") for its contribution to global warming. The lawsuit also includes ENI's two majority shareholders, namely the Italian Ministry of Economy and Finance (""MEF"") and Cassa Depositi e Prestiti S.p.A. (""CDP""), which have the power to strongly influence the company's policies. The case is built on the landmark decision Milieudefensie et al. v. Royal Dutch Shell plc, which ordered Shell to reduce its emissions by 45% by 2030, relative to 2019, across all activities including both its own emissions and end-use emissions. According to the claimants, ENI’s own decarbonization strategy is not in line with the goals enshrined in the Paris Agreement and the best available climate science recommendations to limit climate impacts. It is alleged that ENI's conduct not only contributes to climate change, with all that it entails in terms of environmental risks and health consequences, it also violates human rights that are safeguarded and protected both by the Italian Constitution and by international norms and agreements. Besides, MEF and CDP are also deemed responsible for ENI's climate inaction, as, thanks to the ENI's shares held directly and indirectly, they have sufficient votes to exercise a dominant influence in the Ordinary Shareholders' Meeting of ENI, which is equivalent to a situation of ""control"" of the State over the same company participated.",Whether a private company violated a duty of care and human rights obligations by failing to take adequate action to curb contributions to climate change.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230509_19287_summons.pdf,https://climatecasechart.com/non-us-case/greenpeace-italy-et-al-v-eni-spa-the-italian-ministry-of-economy-and-finance-and-cassa-depositi-e-prestiti-spa/
